cluster_balanced,age_group,Gender,college_ed_binary,employed_binary,chronic_cond_binary,pregnant_binary,poor_phys,poor_mental,poor_qol,health_issues_count,food_insecure_binary,house_insecure_binary,transport_insecure_binary,income_insecure_binary,sdoh_vulnerability_score,self_insured_binary,difficult_afford_health,facilities_within_30min,facilities_within_10miles,primary_care_nearby,urgent_care_nearby,er_nearby,difficulty_coping_binary,sought_care_recently,pct_times_get_Care,mean_satisfaction,incorrect_care_binary
0,18-44,1.0,0.3448275862068966,0.3793103448275862,0.034482758620689655,0.5862068965517241,0.10344827586206896,0.034482758620689655,0.27586206896551724,0.4482758620689655,0.3793103448275862,0.10344827586206896,0.10344827586206896,0.5172413793103449,1.103448275862069,0.6551724137931034,0.5862068965517241,4.413793103448276,0.41379310344827586,0.9655172413793104,0.7241379310344828,0.896551724137931,0.06896551724137931,0.6551724137931034,0.9083448275862068,3.232413793103448,0.27586206896551724
1,18-44,1.0,0.36666666666666664,0.6666666666666666,0.03333333333333333,0.4,0.0,0.03333333333333333,0.1,0.16666666666666666,0.4,0.2,0.13333333333333333,0.5,1.2333333333333334,0.7,0.3,1.2333333333333334,1.2,0.06666666666666667,0.06666666666666667,0.1,0.13333333333333333,0.43333333333333335,0.8434666666666666,3.1646666666666667,0.3
2,18-44,1.0,0.1724137931034483,0.5517241379310345,0.6551724137931034,0.1724137931034483,0.4827586206896552,0.6551724137931034,0.9310344827586207,2.7241379310344827,0.6896551724137931,0.4482758620689655,0.2413793103448276,0.7586206896551724,2.1379310344827585,0.6551724137931034,0.6206896551724138,2.896551724137931,1.5862068965517242,0.5517241379310345,0.27586206896551724,0.6206896551724138,0.3103448275862069,0.5862068965517241,0.724,2.711034482758621,0.20689655172413793
3,18-44,1.0,0.4166666666666667,0.6875,0.2916666666666667,0.25,0.041666666666666664,0.14583333333333334,0.2916666666666667,0.7708333333333334,0.020833333333333332,0.020833333333333332,0.0625,0.20833333333333334,0.3125,0.8333333333333334,0.3958333333333333,4.458333333333333,3.9791666666666665,0.8333333333333334,0.6875,0.9791666666666666,0.10416666666666667,0.6458333333333334,0.91675,3.3172916666666663,0.3125
4,18-44,1.0,0.2608695652173913,0.4782608695652174,0.08695652173913043,0.5652173913043478,0.08695652173913043,0.2608695652173913,0.43478260869565216,0.8695652173913043,0.9130434782608695,0.6956521739130435,0.34782608695652173,0.9130434782608695,2.869565217391304,0.5652173913043478,0.391304347826087,4.608695652173913,4.739130434782608,0.9130434782608695,0.8260869565217391,1.0,0.4782608695652174,0.6956521739130435,0.8464347826086956,3.180434782608696,0.30434782608695654
