,age_group_mode,age_group_mode_pct,Gender_pct,college_ed_binary_pct,employed_binary_pct,residence_stability_mode,residence_stability_mode_pct,chronic_cond_binary_pct,poor_phys_pct,poor_mental_pct,poor_qol_pct,health_issues_level_mode,health_issues_level_mode_pct,food_insecure_binary_pct,house_insecure_binary_pct,transport_insecure_binary_pct,income_insecure_binary_pct,sdoh_vulnerability_level_mode,sdoh_vulnerability_level_mode_pct,self_insured_binary_pct,sought_care_recently_pct,seeks_care_locally_pct,kids_insurance_status_mode,kids_insurance_status_mode_pct,difficulty_coping_binary_pct,cluster_size,cluster_pct
Cluster_0,0,70.9090909090909,100.0,20.0,32.72727272727273,1,70.9090909090909,14.545454545454545,7.2727272727272725,9.090909090909092,14.545454545454545,0,70.9090909090909,32.72727272727273,7.2727272727272725,10.909090909090908,58.18181818181818,1,67.27272727272727,74.54545454545455,72.72727272727273,27.27272727272727,1,74.54545454545455,3.6363636363636362,55,34.810126582278485
Cluster_1,2,47.82608695652174,100.0,52.17391304347826,73.91304347826086,2,56.52173913043478,91.30434782608695,26.08695652173913,13.043478260869565,82.6086956521739,2,78.26086956521739,26.08695652173913,4.3478260869565215,8.695652173913043,47.82608695652174,1,65.21739130434783,86.95652173913044,95.65217391304348,60.86956521739131,1,78.26086956521739,21.73913043478261,23,14.556962025316455
Cluster_2,0,47.82608695652174,100.0,17.391304347826086,30.434782608695656,0,60.86956521739131,26.08695652173913,39.130434782608695,69.56521739130434,73.91304347826086,2,69.56521739130434,95.65217391304348,82.6086956521739,30.434782608695656,86.95652173913044,2,82.6086956521739,39.130434782608695,56.52173913043478,34.78260869565217,1,56.52173913043478,69.56521739130434,23,14.556962025316455
Cluster_3,1,50.0,100.0,22.22222222222222,61.111111111111114,1,77.77777777777779,0.0,5.555555555555555,16.666666666666664,77.77777777777779,1,72.22222222222221,38.88888888888889,16.666666666666664,33.33333333333333,38.88888888888889,1,61.111111111111114,27.77777777777778,16.666666666666664,0.0,1,66.66666666666666,11.11111111111111,18,11.39240506329114
Cluster_4,0,60.0,100.0,10.0,100.0,2,80.0,10.0,0.0,50.0,30.0,1,50.0,90.0,90.0,20.0,80.0,2,80.0,90.0,70.0,40.0,0,50.0,40.0,10,6.329113924050633
Cluster_5,1,37.93103448275862,100.0,68.96551724137932,93.10344827586206,2,62.06896551724138,3.4482758620689653,3.4482758620689653,6.896551724137931,0.0,0,86.20689655172413,10.344827586206897,10.344827586206897,6.896551724137931,17.24137931034483,0,75.86206896551724,93.10344827586206,37.93103448275862,44.827586206896555,1,68.96551724137932,3.4482758620689653,29,18.354430379746837
